occupation,women,white,black,asian,hispanic,total
"Management, professional, and related occupations",38.9,39.6,30.4,51.3,21.5,103.2
"Management, business, and financial operations occupations",16.2,17,11.3,17.3,9.3,37.9
Management occupations,11.4,12.2,7.1,10.9,6.8,24.8
Business and financial operations occupations,4.8,4.8,4.2,6.4,2.6,13.2
Professional and related occupations,22.7,22.7,19.1,33.9,12.2,65.2
Computer and mathematical occupations,2.9,2.5,2.1,10,1.2,13.3
Architecture and engineering occupations,2,2,1,3.9,1,5.9
"Life, physical, and social science occupations",0.9,0.9,0.5,2.3,0.4,3.2
Community and social service occupations,1.7,1.7,2.6,1.1,1.1,4.8
Legal occupations,1.2,1.3,0.7,0.9,0.6,2.2
"Education, training, and library occupations",6,6.3,5.3,4.6,3.6,13.5
"Arts, design, entertainment, sports, and media occupations",2.1,2.2,1.1,1.8,1.3,4.2
Healthcare practitioners and technical occupations,5.9,5.7,5.8,9.3,2.9,18
Service occupations,17.4,16.2,24.8,16.1,24.9,65.8
Healthcare support occupations,2.4,1.9,5.4,2.3,2.4,10.1
Protective service occupations,2.1,2,3.4,0.9,1.8,6.1
Food preparation and serving related occupations,5.5,5.2,6.4,5.7,8.4,20.5
Building and grounds cleaning and maintenance occupations,3.8,3.8,4.7,1.9,8.9,15.5
Personal care and service occupations,3.6,3.3,4.8,5.3,3.5,13.6
Sales and office occupations,22.6,22.6,23.7,19.9,21.1,64.7
Sales and related occupations,10.5,10.8,9.5,10.2,9.7,29.4
Office and administrative support occupations,12,11.8,14.2,9.7,11.4,35.3
"Natural resources, construction, and maintenance occupations",9.2,10.2,5.7,3.1,16.3,25.1
"Farming, fishing, and forestry occupations",0.7,0.8,0.3,0.2,2,2.5
Construction and extraction occupations,5.1,5.7,3,1.1,10.4,14.5
"Installation, maintenance, and repair occupations",3.4,3.6,2.4,1.8,3.9,8.1
"Production, transportation, and material-moving occupations",11.9,11.4,15.4,9.6,16.1,41.1
Production occupations,5.7,5.6,6.1,6,7.8,19.9
Transportation and material-moving occupations,6.1,5.8,9.3,3.6,8.4,21.3
