alabama,201.98
alaska,54.23
arizona,321.94
arkansas,119
california,2780.25
colorado,352.86
conneticuit,247.13
deleware,62.72
district of clumbia,125.51
florida,947.41
georgia,537.27
hawaii,82.19
idaho,72.39
illinois,775.85
indiana,329.13
iowa,172.96
kansas,155.97
kentucky,187.79
louisiana,237.95
maine,57.96
maryland,372.14
massachusetts,515.85
michigan,468.7
minnesota,337.52
mississippi,103.62
missouri,289.61
montana,46.93
nebraska,115.53
nevade,152.22
new hamp,77.29
new jersey,558.65
new mexico,97.24
new york,1436.7
north carolina,505.9
north dakota,53.93
ohio,610.49
oklahoma,200.28
oregon,221.67
pennsylvania,723.05
rhode island,54.55
south carolina,212.59
south dakota,46.84
tennessee,328.01
texas,1800.69
utah,165.51
vermont,30.22
virginia,484.65
washington,530.82
west virgina,71.34
wisconsin,303.99
wyoming,39.11

