occupation,women,white,black,asian,hispanic,total
"Helpers--installation, maintenance, and repair workers",–,–,–,–,–,0
"Other installation, maintenance, and repair workers",8,88.4,8.1,0.9,27.1,36.1
,,,,,,0
"Production, transportation, and material moving occupations",23,74.2,16.9,5,23,44.9
Production occupations,28.6,76.6,13.3,6,23.1,42.4
First-line supervisors of production and operating workers,21.3,80.3,12.2,3.8,17.2,33.2
"Aircraft structure, surfaces, rigging, and systems assemblers",–,–,–,–,–,0
"Electrical, electronics, and electromechanical assemblers",50.4,64.5,8,20.2,20.1,48.3
Engine and other machine assemblers,–,–,–,–,–,0
Structural metal fabricators and fitters,–,–,–,–,–,0
Miscellaneous assemblers and fabricators,36.4,67,19.7,9.6,21.7,51
Bakers,60.4,74,11.7,9.6,30.7,52
"Butchers and other meat, poultry, and fish processing workers",26.9,71.2,17.1,6.2,37.3,60.6
"Food and tobacco roasting, baking, and drying machine operators and tenders",–,–,–,–,–,0
Food batchmakers,62.7,87.9,7.3,1.6,36.2,45.1
Food cooking machine operators and tenders,–,–,–,–,–,0
"Food processing workers, all other",33.8,72.1,18.1,7,38.8,63.9
Computer control programmers and operators,3.7,87,6.6,5,11.4,23
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Forging machine setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Rolling machine setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",15.8,75.2,17.3,0.3,13.9,31.5
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",–,–,–,–,–,0
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Milling and planing machine setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
Machinists,5.6,84.8,7,4.9,11.5,23.4
"Metal furnace operators, tenders, pourers, and casters",–,–,–,–,–,0
"Model makers and patternmakers, metal and plastic",–,–,–,–,–,0
"Molders and molding machine setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Multiple machine tool setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
Tool and die makers,4.8,95.1,3.7,0.3,3.4,7.4
"Welding, soldering, and brazing workers",5.3,85.3,8.8,2.3,22.8,33.9
"Heat treating equipment setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Layout workers, metal and plastic",–,–,–,–,–,0
"Plating and coating machine setters, operators, and tenders, metal and plastic",–,–,–,–,–,0
"Tool grinders, filers, and sharpeners",–,–,–,–,–,0
"Metal workers and plastic workers, all other",19.5,72,14.5,8.2,26,48.7
Prepress technicians and workers,–,–,–,–,–,0
Printing press operators,22.1,84.3,7.2,4,23.1,34.3
Print binding and finishing workers,–,–,–,–,–,0
Laundry and dry-cleaning workers,75.4,55.9,25.1,12.2,37.9,75.2
"Pressers, textile, garment, and related materials",–,–,–,–,–,0
Sewing machine operators,72.4,69.3,11,15.3,35.4,61.7
Shoe and leather workers and repairers,–,–,–,–,–,0
Shoe machine operators and tenders,–,–,–,–,–,0
"Tailors, dressmakers, and sewers",75.4,66.3,9.5,23.7,20.9,54.1
Textile bleaching and dyeing machine operators and tenders,–,–,–,–,–,0
"Textile cutting machine setters, operators, and tenders",–,–,–,–,–,0
"Textile knitting and weaving machine setters, operators, and tenders",–,–,–,–,–,0
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",–,–,–,–,–,0
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",–,–,–,–,–,0
Fabric and apparel patternmakers,–,–,–,–,–,0
Upholsterers,–,–,–,–,–,0
"Textile, apparel, and furnishings workers, all other",–,–,–,–,–,0
Cabinetmakers and bench carpenters,8,88.2,7.7,1.1,21.3,30.1
Furniture finishers,–,–,–,–,–,0
"Model makers and patternmakers, wood",–,–,–,–,–,0
"Sawing machine setters, operators, and tenders, wood",–,–,–,–,–,0
"Woodworking machine setters, operators, and tenders, except sawing",–,–,–,–,–,0
"Woodworkers, all other",–,–,–,–,–,0
"Power plant operators, distributors, and dispatchers",–,–,–,–,–,0
Stationary engineers and boiler operators,3,84.3,5.2,5.5,9.8,20.5
Water and wastewater treatment plant and system operators,8,84.6,8.4,3.5,9.7,21.6
Miscellaneous plant and system operators,4.9,83.2,11.6,3.9,14.7,30.2
"Chemical processing machine setters, operators, and tenders",11.1,86.8,11,1,8.1,20.1
"Crushing, grinding, polishing, mixing, and blending workers",7.5,80.8,11.4,1.9,26.1,39.4
Cutting workers,12.7,78.3,18.8,2.5,25.2,46.5
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",–,–,–,–,–,0
"Furnace, kiln, oven, drier, and kettle operators and tenders",–,–,–,–,–,0
"Inspectors, testers, sorters, samplers, and weighers",35.6,77.6,11.5,5.4,17.5,34.4
Jewelers and precious stone and metal workers,–,–,–,–,–,0
"Medical, dental, and ophthalmic laboratory technicians",60,81.8,4.6,10.5,17.7,32.8
Packaging and filling machine operators and tenders,54.6,68.8,20.4,6.3,37.3,64
Painting workers,10.6,81.5,13,1.8,41.8,56.6
Photographic process workers and processing machine operators,–,–,–,–,–,0
Semiconductor processors,–,–,–,–,–,0
Adhesive bonding machine operators and tenders,–,–,–,–,–,0
"Cleaning, washing, and metal pickling equipment operators and tenders",–,–,–,–,–,0
Cooling and freezing equipment operators and tenders,–,–,–,–,–,0
Etchers and engravers,–,–,–,–,–,0
"Molders, shapers, and casters, except metal and plastic",–,–,–,–,–,0
"Paper goods machine setters, operators, and tenders",–,–,–,–,–,0
Tire builders,–,–,–,–,–,0
Helpers--production workers,32.6,74.9,17.2,4,30.3,51.5
"Production workers, all other",28.6,73.8,16.1,5.7,24.6,46.4
Transportation and material moving occupations,18.2,72.2,20,4.1,22.9,47
Supervisors of transportation and material moving workers,21.5,72.2,19.4,6.7,20.3,46.4
Aircraft pilots and flight engineers,7.5,93.7,2.6,3.4,2.2,8.2
Air traffic controllers and airfield operations specialists,–,–,–,–,–,0
Flight attendants,81.3,73.7,17.5,5.4,15.3,38.2
"Ambulance drivers and attendants, except emergency medical technicians",–,–,–,–,–,0
Bus drivers,45.3,67.2,27,3.1,15,45.1
Driver/sales workers and truck drivers,6.7,75.2,18.1,2.9,20.5,41.5
Taxi drivers and chauffeurs,16.8,55.5,29.5,13.1,23.6,66.2
"Motor vehicle operators, all other",17.2,83.6,10.6,5.5,18.6,34.7
Locomotive engineers and operators,–,–,–,–,–,0
"Railroad brake, signal, and switch operators",–,–,–,–,–,0
Railroad conductors and yardmasters,2.4,66.7,24,3.1,5.4,32.5
"Subway, streetcar, and other rail transportation workers",–,–,–,–,–,0
Sailors and marine oilers,–,–,–,–,–,0
Ship and boat captains and operators,–,–,–,–,–,0
Ship engineers,–,–,–,–,–,0
Bridge and lock tenders,–,–,–,–,–,0
Parking lot attendants,14.8,72.6,19.3,5.7,31,56
Automotive and watercraft service attendants,18.4,68.9,12.1,13.7,14.5,40.3
Transportation inspectors,–,–,–,–,–,0
"Transportation attendants, except flight attendants",–,–,–,–,–,0
Other transportation workers,–,–,–,–,–,0
Conveyor operators and tenders,–,–,–,–,–,0
Crane and tower operators,5.2,90.1,6.3,0,10.6,16.9
"Dredge, excavating, and loading machine operators",–,–,–,–,–,0
Hoist and winch operators,–,–,–,–,–,0
Industrial truck and tractor operators,8.7,69,25.8,1.7,31.4,58.9
Cleaners of vehicles and equipment,16,76.1,19.4,1.4,34.8,55.6
"Laborers and freight, stock, and material movers, hand",21.5,72.4,19.8,2.7,23.1,45.6
Machine feeders and offbearers,–,–,–,–,–,0
"Packers and packagers, hand",54.8,69.2,19,7.7,41.5,68.2
Pumping station operators,–,–,–,–,–,0
Refuse and recyclable material collectors,7.6,74,18.2,3.6,29.7,51.5
Mine shuttle car operators,–,–,–,–,–,0
"Tank car, truck, and ship loaders",–,–,–,–,–,0
"Material moving workers, all other",–,–,–,–,–,0
