occupation,women,white,black,asian,hispanic,total
Biological scientists,47.7,81,3.4,14.4,8.7,26.5
Conservation scientists and foresters,–,–,–,–,–,0
Medical scientists,51.8,64.1,7.3,27.8,8.8,43.9
"Life scientists, all other",–,–,–,–,–,0
Astronomers and physicists,–,–,–,–,–,0
Atmospheric and space scientists,–,–,–,–,–,0
Chemists and materials scientists,42.5,75.7,7,13.7,8.2,28.9
Environmental scientists and geoscientists,33,85.1,4.8,7.4,12.4,24.6
"Physical scientists, all other",43.7,68.3,3.4,25.7,7.1,36.2
Economists,–,–,–,–,–,0
Survey researchers,–,–,–,–,–,0
Psychologists,79.7,89.9,5.8,3.5,10.3,19.6
Sociologists,–,–,–,–,–,0
Urban and regional planners,–,–,–,–,–,0
Miscellaneous social scientists and related workers,–,–,–,–,–,0
Agricultural and food science technicians,–,–,–,–,–,0
Biological technicians,–,–,–,–,–,0
Chemical technicians,30.8,80.1,10.6,6.3,12.2,29.1
Geological and petroleum technicians,–,–,–,–,–,0
Nuclear technicians,–,–,–,–,–,0
Social science research assistants,–,–,–,–,–,0
"Miscellaneous life, physical, and social science technicians",54,72.8,8.6,15,13.4,37
Community and social service occupations,67.5,72.9,20.1,3.6,13,36.7
Counselors,75.7,72.7,21.2,2.7,12.7,36.6
Social workers,81.9,69.6,23,3.7,14.3,41
Probation officers and correctional treatment specialists,44.6,70.6,26.7,0.4,15.8,42.9
Social and human service assistants,79,65.2,25.5,4.3,16.4,46.2
"Miscellaneous community and social service specialists, including health educators and community health workers",70.8,71.1,22.5,2.5,21.9,46.9
Clergy,20.7,79.1,12.2,5.9,7.7,25.8
"Directors, religious activities and education",48.6,92.3,5.1,2.3,13.4,20.8
"Religious workers, all other",72.7,89.6,5.1,4.7,8.3,18.1
Legal occupations,52.7,83,8.3,6.1,9.5,23.9
Lawyers,36.4,86.6,5.9,5.7,5.8,17.4
Judicial law clerks,–,–,–,–,–,0
"Judges, magistrates, and other judicial workers",52.5,81.5,13.4,4.8,8.6,26.8
Paralegals and legal assistants,89.6,77.1,11.8,6.7,17.7,36.2
Miscellaneous legal support workers,72.5,74.2,13.2,8,13.9,35.1
"Education, training, and library occupations",73.6,81.7,10.2,5.3,11,26.5
Postsecondary teachers,47.4,75.3,7,15.1,8.3,30.4
Preschool and kindergarten teachers,98.7,75.8,15.7,5.2,14.9,35.8
Elementary and middle school teachers,80.5,84.7,10.2,2.6,10.2,23
Secondary school teachers,56.5,87.1,7.3,3.3,8.8,19.4
Special education teachers,86.7,85.2,9.2,3.5,6.5,19.2
Other teachers and instructors,64.6,78.4,11.7,6.1,11.6,29.4
"Archivists, curators, and museum technicians",–,–,–,–,–,0
Librarians,79.9,87.8,6,3.2,9.8,19
Library technicians,–,–,–,–,–,0
Teacher assistants,89.7,79,13.4,4.1,18,35.5
